,Initial_Richness,Target_Trait_Composition,Controller_Success,Confidence_Interval_95
0,0.0,0.2,0.9,0.0924966215599251
1,0.0,0.4,0.9,0.0924966215599251
2,0.0,0.6,0.8,0.12332882874656678
3,0.0,0.8,0.7,0.141290923275347
4,1.0,0.2,0.9428571428571428,0.0270495172755384
5,1.0,0.4,1.0,0.0
6,1.0,0.6,1.0,0.0
7,1.0,0.8,0.7,0.053402949356753694
8,2.0,0.2,0.8666666666666667,0.022871275392842394
9,2.0,0.4,0.8761904761904762,0.02216007669274145
10,2.0,0.6,0.9714285714285714,0.01120898743941261
11,2.0,0.8,0.6,0.03296101593441214
12,3.0,0.2,0.8028571428571428,0.020733864427809574
13,3.0,0.4,0.4742857142857143,0.02602348793298567
14,3.0,0.6,0.7485714285714286,0.022609685996816398
15,3.0,0.8,0.5142857142857142,0.026047333008415892
16,4.0,0.2,0.7514285714285714,0.022523716363731346
17,4.0,0.4,0.31142857142857144,0.02413372276181243
18,4.0,0.6,0.5742857142857143,0.025768771357196588
19,4.0,0.8,0.4114285714285714,0.025645868164986343
20,5.0,0.2,0.6714285714285714,0.03160165120053987
21,5.0,0.4,0.18571428571428572,0.026164113974264616
22,5.0,0.6,0.3333333333333333,0.03171675237082733
23,5.0,0.8,0.2571428571428571,0.02940592550508308
24,6.0,0.2,0.5,0.05826739470505169
25,6.0,0.4,0.11428571428571428,0.03707647128614142
26,6.0,0.6,0.05714285714285714,0.027049517275538396
27,6.0,0.8,0.07142857142857142,0.030012297042394685
28,7.0,0.2,0.2,0.12332882874656681
29,7.0,0.4,0.1,0.09249662155992511
30,7.0,0.6,0.0,0.0
31,7.0,0.8,0.0,0.0
